* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 日期: 2025-1-17 17:54:23
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of R, R, 均方根平均值1
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 2.200 Hz
*
* 频率(Hz) SPL(dB)
3450.000000 95.553
3500.000000 95.525
3550.000000 95.486
3600.000000 95.435
3650.000000 95.372
3700.000000 95.297
3750.000000 95.212
3820.000000 95.079
3870.000000 94.978
3950.000000 94.816
4000.000000 94.718
4060.000000 94.606
4120.000000 94.500
4180.000000 94.401
4250.000000 94.288
4310.000000 94.192
4370.000000 94.098
4440.000000 93.991
4500.000000 93.899
4550.000000 93.823
4620.000000 93.715
4680.000000 93.623
4750.000000 93.516
4820.000000 93.408
4870.000000 93.329
4940.000000 93.216
5000.000000 93.118
5080.000000 92.985
5150.000000 92.863
5220.000000 92.735
5300.000000 92.581
5380.000000 92.417
5450.000000 92.268
5520.000000 92.115
5600.000000 91.936
5700.000000 91.705
5800.000000 91.465
5900.000000 91.216
6000.000000 90.954
6080.000000 90.734
6150.000000 90.535
6220.000000 90.330
6300.000000 90.092
6400.000000 89.789
6500.000000 89.487
6600.000000 89.191
6700.000000 88.912
6800.000000 88.664
6900.000000 88.455
7000.000000 88.292
7100.000000 88.185
7200.000000 88.138
7300.000000 88.149
7400.000000 88.214
7500.000000 88.329
7620.000000 88.529
7750.000000 88.807
7880.000000 89.135
8000.000000 89.470
8120.000000 89.819
8250.000000 90.191
8380.000000 90.533
8500.000000 90.806
8620.000000 91.030
8750.000000 91.209
8850.000000 91.298
9000.000000 91.348
9120.000000 91.312
9250.000000 91.194
9380.000000 90.980
9500.000000 90.682
9620.000000 90.270
9750.000000 89.683
9880.000000 88.952
10000.000000 88.171
10150.000000 87.103
10300.000000 86.002
10440.000000 85.006
10600.000000 83.950
10750.000000 83.059
10900.000000 82.262
11060.000000 81.504
11200.000000 80.908
11380.000000 80.226
11500.000000 79.819
11720.000000 79.159
11800.000000 78.945
12060.000000 78.343
12200.000000 78.075
12410.000000 77.752
12500.000000 77.644
12650.000000 77.511
12800.000000 77.439
13150.000000 77.575
13200.000000 77.634
13400.000000 77.963
13600.000000 78.419
13800.000000 78.949
14000.000000 79.495
14300.000000 80.284
14500.000000 80.796
14750.000000 81.427
15000.000000 81.997
15250.000000 82.386
15500.000000 82.480
15750.000000 82.225
16000.000000 81.646
16250.000000 80.824
16500.000000 79.854
16750.000000 78.820
17000.000000 77.779
17250.000000 76.788
17500.000000 75.898
17750.000000 75.147
18000.000000 74.553
18250.000000 74.132
18500.000000 73.908
18750.000000 73.902
19000.000000 74.120
19250.000000 74.522
19500.000000 74.990
19750.000000 75.342
20000.000000 75.390
20300.000000 74.854
20600.000000 73.584
20900.000000 71.660
21200.000000 69.331
21400.000000 67.715
21800.000000 64.684
22000.000000 63.347
22400.000000 61.046
22700.000000 59.600
23000.000000 58.347
23300.000000 57.269
23600.000000 56.367
24000.000000 55.419
24300.000000 54.897
24700.000000 54.484
