* REW测量的测量数据V5.20.13
* 来源: 频率响应平均数据
* 格式: Averaged data produced from the rms magnitudes of One L, One L
* 日期: 2024-10-25 20:50:28
* REW 设置:
* C计权补偿: 关
*  目标电平: 75.0 dB
* 注释: Averaged data produced from the rms magnitudes of One L, One L
* 测量: 均方根平均值1
* 平滑: 1/24 倍频程
* 频率步进: 1/48 倍频程
* 起始频率: 20.300 Hz
*
* 频率(Hz) SPL(dB)
15000.000000 -7.566
15250.000000 -5.651
15500.000000 -3.382
15750.000000 -1.336
16000.000000 -0.497
16250.000000 -1.476
16500.000000 -3.838
16750.000000 -6.601
17000.000000 -9.117
17250.000000 -11.232
17500.000000 -13.012
17750.000000 -14.485
18000.000000 -15.663
18250.000000 -16.649
18500.000000 -17.488
18750.000000 -18.179
19000.000000 -18.741
19250.000000 -19.165
19500.000000 -19.481
19750.000000 -19.789
20000.000000 -20.146
20300.000000 -20.562
